date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball
02-Jul-20,11,12,24,29,33,5
29-Jun-20,20,26,29,33,37,3
25-Jun-20,3,16,18,20,45,8
22-Jun-20,16,25,28,35,38,8
18-Jun-20,6,8,28,32,44,9
15-Jun-20,4,15,21,23,42,2
11-Jun-20,5,6,15,22,32,9
08-Jun-20,3,12,16,22,47,5
04-Jun-20,8,9,27,28,47,6
01-Jun-20,4,30,32,34,38,9
28-May-20,3,5,13,23,31,5
25-May-20,1,3,24,42,44,7
21-May-20,3,4,19,45,46,1
18-May-20,6,17,23,43,45,5
14-May-20,12,15,36,38,41,6
11-May-20,24,25,26,31,45,6
07-May-20,7,14,27,39,44,6
04-May-20,19,27,31,37,43,1
30-Apr-20,11,37,39,41,46,6
27-Apr-20,9,16,17,21,28,1
23-Apr-20,2,6,25,32,46,6
20-Apr-20,2,5,7,19,42,7
16-Apr-20,11,18,20,31,35,7
13-Apr-20,1,21,23,29,41,1
09-Apr-20,13,15,23,27,37,10
06-Apr-20,11,23,31,39,42,1
02-Apr-20,8,9,17,35,46,8
30-Mar-20,2,3,4,36,41,5
26-Mar-20,4,7,11,24,29,8
23-Mar-20,21,28,35,37,42,7
19-Mar-20,2,19,32,39,47,7
16-Mar-20,2,4,15,20,37,2
12-Mar-20,7,12,15,39,42,2
09-Mar-20,4,8,25,37,38,9
05-Mar-20,16,24,29,31,46,2
02-Mar-20,8,28,39,45,47,9
27-Feb-20,2,19,29,31,40,10
24-Feb-20,1,19,22,35,40,10
20-Feb-20,8,19,21,38,42,4
17-Feb-20,1,12,34,37,41,8
13-Feb-20,6,17,23,26,29,7
10-Feb-20,1,19,25,43,46,9
06-Feb-20,1,9,16,17,21,1
03-Feb-20,9,14,40,42,43,4
30-Jan-20,4,10,33,36,40,2
27-Jan-20,8,14,16,19,25,5
23-Jan-20,7,9,27,34,42,5
20-Jan-20,4,10,16,30,36,10
16-Jan-20,8,15,29,30,47,10
13-Jan-20,7,18,24,32,35,1
09-Jan-20,3,11,39,44,46,10
06-Jan-20,10,15,16,22,39,2
02-Jan-20,1,6,13,32,41,4
30-Dec-19,8,18,21,23,44,4
26-Dec-19,10,24,30,32,41,9
23-Dec-19,14,18,28,33,35,2
19-Dec-19,13,18,26,37,38,1
16-Dec-19,8,10,16,23,39,8
12-Dec-19,12,14,37,37,39,2
09-Dec-19,3,11,13,34,43,8
05-Dec-19,4,7,11,22,47,5
02-Dec-19,8,20,22,33,34,6
28-Nov-19,17,21,30,32,38,6
25-Nov-19,2,7,17,22,26,7
21-Nov-19,14,19,20,21,39,5
18-Nov-19,6,18,23,33,40,10
14-Nov-19,5,6,19,38,47,6
11-Nov-19,23,32,38,40,47,9
07-Nov-19,11,15,16,21,38,9
04-Nov-19,10,26,32,43,45,10
31-Oct-19,28,30,32,35,45,8
28-Oct-19,5,25,31,34,41,4
24-Oct-19,4,12,17,28,36,7
21-Oct-19,7,16,24,28,29,9
17-Oct-19,8,14,18,29,46,10
14-Oct-19,2,5,15,21,23,2
10-Oct-19,2,5,9,27,37,10
07-Oct-19,17,25,29,33,41,2
03-Oct-19,6,11,32,43,45,10
30-Sep-19,4,6,20,29,34,1
26-Sep-19,10,19,20,26,42,3
23-Sep-19,1,19,26,28,42,3
19-Sep-19,21,22,38,39,42,4
16-Sep-19,5,9,16,32,41,10
12-Sep-19,10,28,33,36,37,9
09-Sep-19,9,15,21,23,26,7
05-Sep-19,20,23,28,30,38,6
